Handle    	Owner               	Type                	Memory    	Time Created                  
0x20900ed0	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:42:58         
0xf5300ed1	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0x22200ed2	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:58:29         
0x5ff00ed3	custom/AntiBhopCheat	CellArray           	84        	12/12/2022 - 20:43:00         
0xf9700ed4	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0xc5300ed5	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:40         
0x4b000ed6	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:45         
0x7f800ed7	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:53:46         
0xd2e00ed9	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:16         
0x34300eda	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:27         
0xeab00edb	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:29         
0x26d00edc	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:26         
0x7ae00edd	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:47:08         
0x96500edf	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:31         
0x9dc00ee2	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:38:30         
0x93400ee3	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:07:50         
0x16300ee5	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:53:30         
0x28300ee7	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:29:49         
0xfb000ee9	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:16         
0x8b200eea	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:22:11         
0xb1a00eeb	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:38         
0x14900eed	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:19         
0xca000eee	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:28:06         
0x98300eef	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:20         
0xbab00ef0	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:44:37         
0xd7100ef2	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:58:32         
0xf5800ef3	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
